X, equationSystem(x)
-5.0, 0.08046538637950483
-4.9, 0.03478734999581076
-4.800000000000001, 0.007656217217023613
-4.700000000000001, 1.5346603173595414E-4
-4.600000000000001, 0.012579775274906582
-4.500000000000002, 0.0444367933209133
-4.400000000000002, 0.09445528615392262
-4.3000000000000025, 0.16064145562885343
-4.200000000000003, 0.2403568052061061
-4.100000000000003, 0.3304233908188887
-4.0000000000000036, 0.4272505540215931
-3.9000000000000035, 0.5269682133103089
-3.8000000000000034, 0.6256234252529382
-3.7000000000000033, 0.7192693456082991
-3.600000000000003, 0.8041728637001208
-3.500000000000003, 0.8769493670389785
-3.400000000000003, 0.9346976648306481
-3.300000000000003, 0.9751343209505321
-3.200000000000003, 0.9966036198951114
-3.1000000000000028, 0.9982777831345199
-3.0000000000000027, 0.9800890999370964
-2.9000000000000026, 0.9427620186491094
-2.8000000000000025, 0.8877841925463777
-2.7000000000000024, 0.817347111199458
-2.6000000000000023, 0.7342460035786982
-2.500000000000002, 0.6418244205992248
-2.400000000000002, 0.5437460169538145
-2.300000000000002, 0.4439220029188375
-2.200000000000002, 0.3463327416731057
-2.100000000000002, 0.254869220426784
-2.0000000000000018, 0.17318515283571265
-1.9000000000000017, 0.10451907332169694
-1.8000000000000016, 0.05162186998938063
-1.7000000000000015, 0.016601212227909418
-1.6000000000000014, 8.526459423066359E-4
-1.5000000000000013, 0.005003713848259663
-1.4000000000000012, 0.028891499567377365
-1.3000000000000012, 0.07155763000956337
-1.200000000000001, 0.13130436541361315
-1.100000000000001, 0.20575008389827504
-1.0000000000000009, 0.2919268772685571
-0.9000000000000009, 0.3863990713802537
-0.8000000000000009, 0.4853944818821997
-0.700000000000001, 0.5849813962306958
-0.600000000000001, 0.6811781923590392
-0.500000000000001, 0.7701509833630213
-0.400000000000001, 0.8483638044444437
-0.30000000000000104, 0.9126697389062495
-0.20000000000000104, 0.9605306711111107
-0.10000000000000103, 0.9900249999999998
-1.0269562977782698E-15, 1.0
0.09999999999999898, -6.9133131507133285
0.19999999999999898, -1.830932920971346
0.299999999999999, 0.9956207672001405
0.399999999999999, 2.6867794448384563
0.499999999999999, 3.7499524684124097
0.599999999999999, 4.432007116189941
0.699999999999999, 4.867001707349818
0.7999999999999989, 5.13408438158542
0.8999999999999989, 5.282976078351903
0.9999999999999989, 5.346452197782641
1.099999999999999, 5.346950034602083
1.199999999999999, 5.300306621825272
1.2999999999999992, 5.217983450293137
1.3999999999999992, 5.108450059070142
1.4999999999999993, 4.978072343823363
1.5999999999999994, 4.831713952704133
1.6999999999999995, 4.673139677168935
1.7999999999999996, 4.505259713226406
1.8999999999999997, 4.330427937020595
1.9999999999999998, 4.150432658280721
2.0999999999999996, 3.966789993146814
2.1999999999999997, 3.780668866770345
2.3, 3.593026126315987
2.4, 3.4046389413953673
2.5, 3.2161373428336453
2.6, 3.028038292364248
2.7, 2.8407570012115486
2.8000000000000003, 2.6546427318698838
2.9000000000000004, 2.469960253286492
3.0000000000000004, 2.2869499711314982
3.1000000000000005, 2.1057873809378727
3.2000000000000006, 1.9266183284203886
3.3000000000000007, 1.7495774227143515
3.400000000000001, 1.5747258323737983
3.500000000000001, 1.4021460734272546
3.600000000000001, 1.2318739520921014
3.700000000000001, 1.0640085224978124
3.800000000000001, 0.8985119673232198
3.9000000000000012, 0.7354219739869388
4.000000000000001, 0.5747120423787822
4.1000000000000005, 0.41644504247692815
4.2, 0.2605837131472235
4.3, 0.10711622855009129
4.3999999999999995, -0.0439728436039033
4.499999999999999, -0.19270344781086557
4.599999999999999, -0.3390990567422003
4.699999999999998, -0.4831835282045569
4.799999999999998, -0.624982487341585
4.899999999999998, -0.7645261998860358
4.999999999999997, -0.9018461108774982
